,Description,Category,Meta_Url
0,"CronJ is a leading React JS Development Company based in the USA, Bangalore, India, New York, UK...",Software-as-a-Service,https://www.programmableweb.com/sample-source-code/cronj-it-technologies
1,This is the sample source code to integrate Vehicle Info API to any PHP application using CURL.,Auto,https://www.programmableweb.com/sample-source-code/apiclubin-vehicle-info-india-php-sample-code
2,PHP sample code for creating Nmap scan with nmap API.,Security,https://www.programmableweb.com/sample-source-code/nmap-create-scan-php-sample-code
3,"Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl...",Recognition,https://www.programmableweb.com/sample-source-code/asposeomr-cloud-nodejs-examples-source-code
4,"Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl...",Recognition,https://www.programmableweb.com/sample-source-code/asposeomr-cloud-ruby-examples-source-code
5,"Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl...",Recognition,https://www.programmableweb.com/sample-source-code/asposeomr-cloud-python-examples-source-code
6,"Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl...",Recognition,https://www.programmableweb.com/sample-source-code/asposeomr-cloud-php-examples-source-code
7,"Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl...",Recognition,https://www.programmableweb.com/sample-source-code/asposeomr-cloud-perl-examples-source-code
8,"Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl...",Recognition,https://www.programmableweb.com/sample-source-code/asposeomr-cloud-java-examples-source-code
9,"Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl...",Recognition,https://www.programmableweb.com/sample-source-code/asposeomr-cloud-net-examples-source-code
10,This is our quickstart application to help you understand how Zabo can integrate into your...,Cryptocurrency,https://www.programmableweb.com/sample-source-code/zabo-nodejs-quickstart-app
11,"This Treasure Box gives you access to the most comprehensive, global suite of consumer insights in...",Customer Relationship Management,https://www.programmableweb.com/sample-source-code/acxiom-data-services-integration-treasure-data
12,A walk-through of how to build Instant Search experiences with Typesense Server. Typesense is an...,Search,https://www.programmableweb.com/sample-source-code/typesense-instantsearch-demo
13,"This Python sample works with Acxiom Data Services API, a secure, real-time interface that provides...",Marketing,https://www.programmableweb.com/sample-source-code/acxiom-data-services-python-sample-code
14,Imports SystemImports System.netPublic Module...,Screenshots,https://www.programmableweb.com/sample-source-code/pikwy-vbnet-source-code
15,#!/usr/bin/pythonimport urllib.requestimport urllib.parse,Screenshots,https://www.programmableweb.com/sample-source-code/pikwy-python-source-code
16,var fs = require('fs')var request = require('request');,Screenshots,https://www.programmableweb.com/sample-source-code/pikwy-nodejs-sample-code
17,"function SiteScreenshot($token, $url, $width, $height, $response_type = 'image') { Screenshots",,https://www.programmableweb.com/sample-source-code/pikwy-php-source-code
18,This PHP example demonstrates get calls sent from a web application to the Trunkrs servers. The...,Shipping,https://www.programmableweb.com/sample-source-code/trunkrs-download-get-php-sample-code
19,This PHP example demonstrates how to delete shipment information. This module extracts and deletes...,Shipping,https://www.programmableweb.com/sample-source-code/trunkrs-delete-test-php-sample-code
20,This example demonstrates how to retrieve user authorization status in PHP. This encodes the...,Payments,https://www.programmableweb.com/sample-source-code/paypay-get-user-status-php-sample-code
21,This PHP example demonstrates how to retrieve a wallet's balance. This module requires user ID...,Payments,https://www.programmableweb.com/sample-source-code/paypay-wallet-balance-php-sample-code
22,This example demonstrates how perform and decode user authentication in PHP. This module takes a...,Payments,https://www.programmableweb.com/sample-source-code/paypay-user-authentication-php-sample-code
23,This PHP example demonstrates payment refund flow. This module creates and retrieves a test payment...,Payments,https://www.programmableweb.com/sample-source-code/paypay-refund-implementation-php-sample-code
24,This example demonstrates how to create a QR code payload in PHP. This payload includes merchant...,Payments,https://www.programmableweb.com/sample-source-code/paypay-qr-test-php-sample-code
0,"This PHP example creates a new account link payload which includes scope, redirect URL, and...",Payments,https://www.programmableweb.com/sample-source-code/paypay-account-link-php-sample-code
1,This PHP example demonstrates how to test payload method chaining. The application creates a new QR...,Payments,https://www.programmableweb.com/sample-source-code/paypay-payloads-test-php-sample-code
2,This Python example uses the appropriate package to perform simulated annealing. The simulation is...,Hardware,https://www.programmableweb.com/sample-source-code/d-wave-simulated-annealing-python-sample-code
3,This Python example performs transform method testing. This application checks if the...,Hardware,https://www.programmableweb.com/sample-source-code/d-wave-embedding-transforms-python-sample-code
4,"This Python example demonstrates how to perform diagnostics related to chain overlapping, chain...",Hardware,https://www.programmableweb.com/sample-source-code/d-wave-embedding-diagnostic-python-sample-code
5,This Python example demonstrates how to use the System SDK to embed D-Wave chain breaks. This...,Hardware,https://www.programmableweb.com/sample-source-code/d-wave-embedding-chain-breaks-python-sample-code
6,"This Python example demonstrates how to perform calls to get database path, start a clean...",Hardware,https://www.programmableweb.com/sample-source-code/d-wave-database-manager-test-python-sample-code
7,This example demonstrates how to list XEDI users in TypeScript. This test application calls the /1/...,Business,https://www.programmableweb.com/sample-source-code/xedi-list-users-typescript-sample-code
8,TypeScript example that demonstrates how to retrieve a user by providing its ID and calling the /1/...,Business,https://www.programmableweb.com/sample-source-code/xedi-get-users-typescript-sample-code
9,This TypeScript example demonstrates how to restore an Axios instance by providing its ID. This...,Business,https://www.programmableweb.com/sample-source-code/xedi-restore-instance-typescript-sample-code
10,This demonstrates how to delete an Axios instance by providing its ID. Positive responses are JSON...,Business,https://www.programmableweb.com/sample-source-code/xedi-delete-instance-typescript-sample-code
11,This TypeScript example demonstrates how to create an Axios instance connected to XEDI. Positive...,Business,https://www.programmableweb.com/sample-source-code/xedi-create-instance-typescript-sample-code
12,This TypeScript example demonstrates how to test a XEDI logout implementation. This removes Tokens...,Business,https://www.programmableweb.com/sample-source-code/xedi-logout-test-typescript-sample-code
13,This TypeScript example demonstrates how to test a login implementation. The application checks...,Business,https://www.programmableweb.com/sample-source-code/xedi-login-implementation-typescript-sample-code
14,PHP example that demonstrates how to send emails using the SendGrid-XEDI integration. This requires...,Business,https://www.programmableweb.com/sample-source-code/xedi-send-email-php-sample-code
15,The Contacts+ Exchanging an Authorization Code JavaScript Sample Code demonstrates how to use a...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-javascript-sample-code
16,The Contacts+ Exchanging an Authorization Code C# Sample Code demonstrates how to use the Contacts...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-c-sample-code
17,The Contacts+ Exchanging an Authorization Code Java Sample Code demonstrates how to access the...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-java-sample-code
18,The Contacts+ Exchanging an Authorization Code Clojure Sample Code provides a core example. The...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-clojure-sample-code
19,The Contacts+ Exchanging an Authorization Code Curl Sample Code demonstrates how to redirect to a...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-curl-sample-code
20,This Python example uses the CardService module to complete a card charge. This sends card...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-card-charge-python-sample-code
21,Python example that demonstrates how to validate one time passwords using the CardService module....,Payments,https://www.programmableweb.com/sample-source-code/seerbit-validate-otp-python-sample-code
22,This Python example uses the CardService module to initiate card tokenization. This test...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-tokenize-python-sample-code
23,This example demonstrates how to initiate a card payment refund in Python. This module takes credit...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-card-refund-python-sample-code
24,"This Python example performs card pre-auth using a Token string. This takes credit card details,...",Payments,https://www.programmableweb.com/sample-source-code/seerbit-card-preauth-demo-python-sample-code
0,This example demonstrates how to build card capture methods in Python. The test application...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-card-capture-python-sample-code
1,This example demonstrates how to create account-related methods in Python. This module performs...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-account-implementations-python-sample-code
2,This example contains core barcode components for Swift. This module supports 1D and 2D barcodes....,Scanning,https://www.programmableweb.com/sample-source-code/scanbot-barcode-scanner-swift-sample-code
3,Android example that contains Optical Character Recognition components and a ready-to-use user...,Scanning,https://www.programmableweb.com/sample-source-code/scanbot-ready-to-use-ui-android-sample-code
4,This example demonstrates how to integrate core document scanning with applications. This test...,Scanning,https://www.programmableweb.com/sample-source-code/scanbot-classical-components-android-sample-code
5,This example demonstrates how to create project-related methods in Python using the project module...,File Sharing,https://www.programmableweb.com/sample-source-code/filescom-project-operations-python-sample-code
6,This Python example demonstrates how to utilize the user_request module to perform API requests....,File Sharing,https://www.programmableweb.com/sample-source-code/filescom-user-request-python-sample-code
7,This Python example demonstrates how to create and update a message using the Files.com interface....,File Sharing,https://www.programmableweb.com/sample-source-code/filescom-message-implementation-python-sample-code
8,"This Python example demonstrates how to run the automation module contained in the Files.com SDK,...",File Sharing,https://www.programmableweb.com/sample-source-code/filescom-automation-test-python-sample-code
9,The Fullscript Patients Curl Sample Code demonstrates how to access a patient object that contains...,Health,https://www.programmableweb.com/sample-source-code/fullscript-patients-curl-sample-code
10,The Fullscript Clinic Curl Sample Code demonstrates how to access the endpoints that retrieve...,Health,https://www.programmableweb.com/sample-source-code/fullscript-clinic-curl-sample-code
11,The Fullscript Supplements Curl Sample Code demonstrates how to access groups of products based on...,Health,https://www.programmableweb.com/sample-source-code/fullscript-supplements-curl-sample-code
12,The Fullscript Ingredients Curl Sample Code demonstrates how to access supplement ingredients that...,Health,https://www.programmableweb.com/sample-source-code/fullscript-ingredients-curl-sample-code
13,The Fullscript Auth Curl Sample Code demonstrates how to use the OAuth tokens to allow access to...,Health,https://www.programmableweb.com/sample-source-code/fullscript-auth-curl-sample-code
14,Objective-C example that demonstrates how to use the orchestration optimization module. This test...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-optimizing-programmatically-using-json-objective-c-sample-code
15,This Objective-C example demonstrates how to late initialize and dynamically reconfigure the...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-dynamic-initialization-objective-c-sample-code
16,This example demonstrates how to use the orchestration optimization module. This TabView...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-optimizing-programmatically-using-json-android-sample-code
17,This Android example demonstrates how use the identity transfer feature module. This test...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-identity-transfer-android-sample-code
18,This example demonstrates how to dynamically configure the Thunderhead SDK. The application...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-dynamic-configuration-android-sample-code
19,This Objective-C is a template for basic customer engagement builds. This module is available under...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-starter-objective-c-sample-code
20,Java example that demonstrates how to run a basic sidechain node. Custom boxes and transactions can...,Blockchain,https://www.programmableweb.com/sample-source-code/horizen-running-basic-sidechain-node-java-sample-code
21,JavaScript example that demonstrates how to serialize a transaction on the blockchain. This also...,Blockchain,https://www.programmableweb.com/sample-source-code/horizen-transaction-test-javascript-sample-code
22,This JavaScript example demonstrates how to send a message on the blockchain using an address key...,Blockchain,https://www.programmableweb.com/sample-source-code/horizen-message-implementation-javascript-sample-code
23,This JavaScript example demonstrates how to manage address keys. This transforms private keys into...,Blockchain,https://www.programmableweb.com/sample-source-code/horizen-address-test-javascript-sample-code
24,The MoEngage Session Source Tracking Objective-C Sample Code demonstrates how to view Session And...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-session-source-tracking-objective-c-sample-code
0,The MoEngage Session Source Tracking Swift Sample Code demonstrates how to interact with the...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-session-source-tracking-swift-sample-code
1,The MoEngage Deep Link Swift Sample Code demonstrates how to use the SDK Version 5.2.2. MoEngage...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-deep-link-swift-sample-code
2,The MoEngage Tracking Events Objective-C Sample Code demonstrates how to track all the events...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-tracking-events-objective-c-sample-code
3,The MoEngage Tracking Events Swift Sample Code demonstrates how to track user behavior in an app....,Engagement,https://www.programmableweb.com/sample-source-code/moengage-tracking-events-swift-sample-code
4,The MoEngage Swift Sample Code provides a sample Xcode project to help developers in integrating...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-swift-sample-code
5,The MoEngage iOS Sample Code provides on GitHub an example of MoEngage-iOS-SDK integration in...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-ios-sample-code
6,This example demonstrates how to create a basic React application with Poool paywall integration.,Payments,https://www.programmableweb.com/sample-source-code/poool-using-pay-integration-react-sample-code
7,This example demonstrates how to create a basic Poool-enabled page hosted locally. This test module...,Payments,https://www.programmableweb.com/sample-source-code/poool-base-integration-angularjs-sample-code
8,This example uses the Poool Junipero package to add sliders to connected third parties. The test...,Payments,https://www.programmableweb.com/sample-source-code/poool-slider-page-javascript-sample-code
9,This JavaScript example uses the Junipero module to multi-line and unthemed text fields in Poool-...,Payments,https://www.programmableweb.com/sample-source-code/poool-text-field-javascript-sample-code
10,This example uses the Junipero package to display disabled and unthemed tabs when they are...,Payments,https://www.programmableweb.com/sample-source-code/poool-tabs-page-javascript-sample-code
11,This example demonstrates how to use the Junipero package to import and use the color picker module...,Payments,https://www.programmableweb.com/sample-source-code/poool-color-picker-javascript-sample-code
12,JavaScript example that demonstrates how to use the Junipero package to display checkbox components...,Payments,https://www.programmableweb.com/sample-source-code/poool-checkbox-page-javascript-sample-code
13,This module demonstrates how to create a server using the strongDM Python bindings. This example...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-ssh-server-python-sample-code
14,This example demonstrates how to use the strongDM Python bindings to create a server. This loads...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-rdp-server-python-sample-code
15,Python module that demonstrates how to use the strongDM SDK to create a cluster. The test...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-eks-cluster-python-sample-code
16,This Python module demonstrates how to create a datasource using the strongDM bindings. This loads...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-datasource-python-sample-code
17,This Java example demonstrates how to create a user using the strongDM bindings. This creates a...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-user-java-sample-code
18,This example demonstrates how to create a service account using the strongDM bindings. This module...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-service-account-java-sample-code
19,"This Java example demonstrates how to define and create a role and create a user. Also, this module...",Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-assign-accounts-to-roles-java-sample-code
20,Java Sample Code that illustrates how to update a Postgres resource. This test application loads...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-update-resource-java-sample-code
21,This Java example demonstrates how to delete a Postgres resource. This module loads the API Keys...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-delete-resource-java-sample-code
22,This Java example demonstrates how to create an SSH server using strongDM bindings. This module...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-ssh-server-java-sample-code
23,"This Java example demonstrates how to create a client and load API Keys. Then, this module creates...",Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-rdp-server-java-sample-code
24,"Java example that demonstrates how to load API Keys from the environment, create a client, and...",Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-eks-cluster-java-sample-code
0,"This Java example loads the API Keys from the environment, creates a client, defines a Postgres...",Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-datasource-java-sample-code
1,The Grade Get Recipients Curl Sample Code demonstrates how to get all recipients. A response could...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-recipients-curl-sample-code
2,The Grade Get Reviews Curl Sample Code demonstrates how to use the endpoint to get all reviews. The...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-reviews-curl-sample-code
3,The Grade Get Links Curl Sample Code demonstrates how to access the API to get all links....,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-links-curl-sample-code
4,The Grade Get Profiles Curl Sample Code demonstrates how to access an endpoint that returns all...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-profiles-curl-sample-code
5,The Grade Get Delete A User Curl Sample Code demonstrates how to delete a sub-User. It is not...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-delete-user-curl-sample-code
6,The Grade Get Create A User Curl Sample Code demonstrates how to use the endpoint that creates a...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-create-user-curl-sample-code
7,The Grade Get Update A User Curl Sample Code demonstrates how to update a sub-User of a Master User...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-update-user-curl-sample-code
8,The Grade Get Get A User Curl Sample Code demonstrates how to get a specific user that belongs to...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-get-user-curl-sample-code
9,The Grade Get Users Curl Sample Code demonstrates how to get a collection of all users that belongs...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-users-curl-sample-code
10,The StatusPage Users Curl Sample Code demonstrates how to access the API to integrate users'...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-users-curl-sample-code
11,The StatusPage Subscribers Curl Sample Code demonstrates how to implement subscribers'...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-subscribers-curl-sample-code
12,The StatusPage Access Groups Curl Sample Code demonstrates how to get access groups that allow...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-access-groups-curl-sample-code
13,The StatusPage Access Metrics Curl Sample Code demonstrates how to access page access user metrics...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-access-metrics-curl-sample-code
14,The StatusPage Access Users Curl Sample Code demonstrates how to access users that can people who...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-access-users-curl-sample-code
15,The StatusPage Pages Curl Sample Code demonstrates how to access page settings that include company...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-pages-curl-sample-code
16,The StatusPage Embed Configuration Curl Sample Code demonstrates how to access operation about the...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-embed-configuration-curl-sample-code
17,The StatusPage Auth Curl Sample Code demonstrates how to authenticate a user with the Statuspage...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-auth-curl-sample-code
18,The Plant.id PHP Sample Code demonstrates how to access the API to implement plant identification...,Nature,https://www.programmableweb.com/sample-source-code/plantid-php-sample-code
19,The Plant.id JavaScript Sample Code demonstrates how to access the API to find similar images of...,Nature,https://www.programmableweb.com/sample-source-code/plantid-javascript-sample-code
20,The LeanEngine Objective-C Sample Code demonstrates how to switch environments in the production...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-objective-c-sample-code
21,The LeanEngine Flutter Dart Sample Code demonstrates how to use cloud function to deploy these...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-flutter-dart-sample-code
22,The LeanEngine Java Sample Code demonstrates how to use cloud function as a sub-module of...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-java-sample-code
23,The LeanEngine PHP Sample Code demonstrates how to develop an application using PHP. It is...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-php-sample-code
24,The LeanEngine Python Sample Code demonstrates how to use cloud function to deploy these types of...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-python-sample-code
0,The LeanEngine Node.js Sample Code demonstrates how to use a sub-module of LeanEngine that allows...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-nodejs-sample-code
1,The LeanEngine Curl Sample Code demonstrates how to switch environments and use cloud functions. To...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-curl-sample-code
2,The LeanCloud SMS Swift Sample Code demonstrates how to send texts to users through the cloud....,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-sms-swift-sample-code
3,The LeanCloud SMS Objective C Sample Code demonstrates how to implement Short Message Service (SMS...,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-sms-objective-c-sample-code
4,"The LeanCloud Java Sample Code demonstrates how to install with a package manager, install manually...",Cloud,https://www.programmableweb.com/sample-source-code/leancloud-java-sample-code
5,The LeanCloud PHP Sample Code demonstrates how to install the SDK and the most convenient one is to...,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-php-sample-code
6,"The LeanCloud Unity Sample Code demonstrates how to implement with Unity 5.3+. It supports iOS,...",Cloud,https://www.programmableweb.com/sample-source-code/leancloud-unity-sample-code
7,The LeanCloud .NET Sample Code demonstrates how to install the SDK using the .NET framework as a...,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-net-sample-code
8,"The LeanCloud JavaScript Sample Code demonstrates how to install the SDK with Web, Node.js, React...",Cloud,https://www.programmableweb.com/sample-source-code/leancloud-javascript-sample-code
9,"The LeanCloud Swift Sample Code demonstrates how to initialize a project, enable debug logs, and...",Cloud,https://www.programmableweb.com/sample-source-code/leancloud-swift-sample-code
10,The LeanCloud Objective C Sample Code demonstrates how to install the SDK. Resources show how to...,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-objective-c-sample-code
11,This TypeScript example demonstrates how to generate a ledger by calling the correct endpoint....,Payments,https://www.programmableweb.com/sample-source-code/univapay-ledgers-test-typescript-sample-code
12,This TypeScript example demonstrates how to create charge requests by calling the correct endpoint...,Payments,https://www.programmableweb.com/sample-source-code/univapay-charges-typescript-sample-code
13,This TypeScript example demonstrates how to call the correct endpoint to create card capture...,Payments,https://www.programmableweb.com/sample-source-code/univapay-captures-typescript-sample-code
14,This TypeScript example demonstrates how to perform POST and GET methods against the proper...,Payments,https://www.programmableweb.com/sample-source-code/univapay-cancel-test-typescript-sample-code
15,TypeScript example that demonstrates how to test the correct endpoint to manage bank account...,Payments,https://www.programmableweb.com/sample-source-code/univapay-bank-account-typescript-sample-code
16,"This PHP example initializes a client instance with a Token and Secret strings, retrieves client...",Payments,https://www.programmableweb.com/sample-source-code/univapay-fetch-charges-php-sample-code
17,"This PHP example demonstrates how to create a payment charge using Token and Secret strings. Also,...",Payments,https://www.programmableweb.com/sample-source-code/univapay-create-charge-and-refund-php-sample-code
18,Sample App source code using FileZigZag Conversion API written in javascript. Visit our API...,Conversions,https://www.programmableweb.com/sample-source-code/filezigzag-sample-app-javascript-source-code
19,This example demonstrates how to perform service configuration in Go. This test module registers a...,Management,https://www.programmableweb.com/sample-source-code/nacos-service-test-go-sample-code
20,This Python example retrieves server configuration data. The test module asserts that configuration...,Management,https://www.programmableweb.com/sample-source-code/nacos-get-server-python-sample-code
21,"This C# example illustrates how to retrieve, publish and remove configuration data. Requests are...",Management,https://www.programmableweb.com/sample-source-code/nacos-configuration-request-c-sample-code
22,This C# Sample Code demonstrates how to call the values endpoint and return a mutli-part string....,Management,https://www.programmableweb.com/sample-source-code/nacos-get-values-c-sample-code
23,This C# example demonstrates how to add a Nacos service and run configuration. This test module...,Management,https://www.programmableweb.com/sample-source-code/nacos-configure-service-c-sample-code
24,This C# example demonstrates how to test if switch retrieval and modification works. Requests are...,Management,https://www.programmableweb.com/sample-source-code/nacos-modify-switches-c-sample-code
